Lab,Method,Subject,Subject_Unique,Language,Age,Session,total_trial_n,language_recoded,Native,ADS,IDS,Diff,Prop,binary_pref
babyling-oslo,Eyetracking,OS_042,babyling-oslo:OS_042,Norwegian,203,2,10,Norwegian,FALSE,1.5379050488390564,1.3163298003200563,-0.22157524851900012,0.46118482531591987,ADS_preference
babyling-oslo,Eyetracking,OS_052,babyling-oslo:OS_052,Norwegian,216,1,8,Norwegian,FALSE,1.4160549936730629,1.4805248432034612,0.06446984953039836,0.511128616016315,IDS_preference
babyling-oslo,Eyetracking,OS_052,babyling-oslo:OS_052,Norwegian,229,2,11,Norwegian,FALSE,1.9716533516191053,1.5641426933102864,-0.40751065830881883,0.4423735626814192,ADS_preference
brookes-babylab,central fixation,MB_103,brookes-babylab:MB_103,English,368,1,16,English,FALSE,1.689989884461614,1.550017788209279,-0.13997209625233498,0.47839941901480915,ADS_preference
brookes-babylab,central fixation,MB_103,brookes-babylab:MB_103,English,375,2,12,English,FALSE,0.8760501552815755,1.918308665812908,1.0422585105313327,0.6864933205183551,IDS_preference
brookes-babylab,central fixation,MB_135,brookes-babylab:MB_135,English,303,1,15,English,FALSE,1.284647885351367,2.0015300860203955,0.7168822006690285,0.609075376762047,IDS_preference
brookes-babylab,central fixation,MB_135,brookes-babylab:MB_135,English,317,2,11,English,FALSE,1.708450198435169,1.7024604983680758,-0.005989700067093207,0.49912197934810976,ADS_preference
brookes-babylab,central fixation,MB_136,brookes-babylab:MB_136,English,295,1,16,English,FALSE,1.5651419038100134,2.174140272358806,0.6089983685487927,0.5814325236578908,IDS_preference
brookes-babylab,central fixation,MB_136,brookes-babylab:MB_136,English,302,2,15,English,FALSE,1.1797242724686783,1.8217815956591057,0.6420573231904274,0.6069558667214795,IDS_preference
brookes-babylab,central fixation,MB_137,brookes-babylab:MB_137,English,252,1,16,English,FALSE,1.669200050595933,2.027888527732701,0.358688477136768,0.5485095866027265,IDS_preference
brookes-babylab,central fixation,MB_137,brookes-babylab:MB_137,English,262,2,15,English,FALSE,1.4479240159992226,2.1716526301537513,0.7237286141545287,0.5999742076084692,IDS_preference
brookes-babylab,central fixation,MB_138,brookes-babylab:MB_138,English,240,1,15,English,FALSE,1.2642788005900958,2.0544288272167,0.7901500266266044,0.6190448384193433,IDS_preference
brookes-babylab,central fixation,MB_138,brookes-babylab:MB_138,English,247,2,16,English,FALSE,1.7507430730204003,2.48004248877366,0.7292994157532595,0.5861895982556016,IDS_preference
brookes-babylab,central fixation,MB_139,brookes-babylab:MB_139,English,278,1,14,English,FALSE,1.8079371794819623,2.1112634795080103,0.303326300026048,0.5386974700223972,IDS_preference
brookes-babylab,central fixation,MB_139,brookes-babylab:MB_139,English,284,2,16,English,FALSE,1.8446797211913528,2.3186603513566935,0.47398063016534064,0.5569231220493663,IDS_preference
brookes-babylab,central fixation,MB_140,brookes-babylab:MB_140,English,253,1,15,English,FALSE,1.3335010665474645,2.064962667229893,0.7314616006824286,0.6076165082199386,IDS_preference
brookes-babylab,central fixation,MB_140,brookes-babylab:MB_140,English,261,2,16,English,FALSE,1.531153559862088,1.9031524762734866,0.3719989164113986,0.5541592555376904,IDS_preference
brookes-babylab,central fixation,MB_141,brookes-babylab:MB_141,English,260,1,15,English,FALSE,1.7593705609898818,2.2153548679862354,0.4559843069963536,0.5573604787480647,IDS_preference
brookes-babylab,central fixation,MB_141,brookes-babylab:MB_141,English,270,2,16,English,FALSE,1.9131873444268914,1.9149009045709382,0.0017135601440467774,0.5002238140858555,IDS_preference
