Lab,Method,Subject,Subject_Unique,Language,Condition,Age,Session,total_trial_n,mean_log_lt,mean_lt,ConditionC,language_recoded,Native
babylab-potsdam,HPP,b7161,babylab-potsdam:b7161,German,IDS,209,1,13,1.854428974653555,7.110714285714286,0.5,German,FALSE
babylab-potsdam,HPP,b7161,babylab-potsdam:b7161,German,IDS,222,2,14,2.071604449591551,8.637875,0.5,German,FALSE
babylab-potsdam,HPP,b7167,babylab-potsdam:b7167,German,ADS,272,1,5,1.537134352077643,5.211,-0.5,German,FALSE
babylab-potsdam,HPP,b7167,babylab-potsdam:b7167,German,ADS,277,2,13,1.6337753754645565,5.438625,-0.5,German,FALSE
babylab-potsdam,HPP,b7167,babylab-potsdam:b7167,German,IDS,272,1,5,2.4055513568491733,11.1045,0.5,German,FALSE
babylab-potsdam,HPP,b7167,babylab-potsdam:b7167,German,IDS,277,2,13,1.7594886492841906,6.5188,0.5,German,FALSE
babylab-potsdam,HPP,b7171,babylab-potsdam:b7171,German,ADS,205,1,16,2.322519627938278,10.735125,-0.5,German,FALSE
babylab-potsdam,HPP,b7171,babylab-potsdam:b7171,German,ADS,212,2,14,1.4853427542006539,4.770428571428572,-0.5,German,FALSE
babylab-potsdam,HPP,b7171,babylab-potsdam:b7171,German,IDS,205,1,16,2.420700677935961,12.271875,0.5,German,FALSE
babylab-potsdam,HPP,b7171,babylab-potsdam:b7171,German,IDS,212,2,14,1.8203311932999147,7.974142857142858,0.5,German,FALSE
babylab-potsdam,HPP,b7172,babylab-potsdam:b7172,German,ADS,194,1,16,2.0633427955345254,8.716,-0.5,German,FALSE
babylab-potsdam,HPP,b7172,babylab-potsdam:b7172,German,ADS,205,2,13,1.8119036713448071,7.259333333333333,-0.5,German,FALSE
babylab-potsdam,HPP,b7172,babylab-potsdam:b7172,German,IDS,194,1,16,2.1688216501171866,10.8695,0.5,German,FALSE
babylab-potsdam,HPP,b7172,babylab-potsdam:b7172,German,IDS,205,2,13,1.352501392260174,4.424571428571428,0.5,German,FALSE
babylab-potsdam,HPP,b7181,babylab-potsdam:b7181,German,ADS,251,1,10,1.3165742035553685,4.0436,-0.5,German,FALSE
babylab-potsdam,HPP,b7181,babylab-potsdam:b7181,German,ADS,258,2,14,1.4905841060585914,5.276142857142857,-0.5,German,FALSE
babylab-potsdam,HPP,b7181,babylab-potsdam:b7181,German,IDS,251,1,10,1.2546197910859245,3.6304,0.5,German,FALSE
babylab-potsdam,HPP,b7181,babylab-potsdam:b7181,German,IDS,258,2,14,1.3828632847968567,5.014571428571428,0.5,German,FALSE
babylab-potsdam,HPP,b7184,babylab-potsdam:b7184,German,ADS,226,1,16,1.2214162679978782,3.609,-0.5,German,FALSE
babylab-potsdam,HPP,b7184,babylab-potsdam:b7184,German,ADS,261,2,15,1.462098876016743,4.943714285714286,-0.5,German,FALSE
babylab-potsdam,HPP,b7184,babylab-potsdam:b7184,German,IDS,226,1,16,1.4734982851311227,4.70325,0.5,German,FALSE
babylab-potsdam,HPP,b7184,babylab-potsdam:b7184,German,IDS,261,2,15,1.2444664896648985,3.715625,0.5,German,FALSE
babylab-potsdam,HPP,b7185,babylab-potsdam:b7185,German,ADS,213,1,15,1.630386960578953,6.195428571428572,-0.5,German,FALSE
babylab-potsdam,HPP,b7185,babylab-potsdam:b7185,German,ADS,220,2,12,1.5881198697293952,5.193666666666667,-0.5,German,FALSE
babylab-potsdam,HPP,b7185,babylab-potsdam:b7185,German,IDS,213,1,15,1.6858419412563814,6.157,0.5,German,FALSE
babylab-potsdam,HPP,b7185,babylab-potsdam:b7185,German,IDS,220,2,12,1.658960039345793,5.620833333333334,0.5,German,FALSE
babyling-oslo,Eyetracking,OS_003,babyling-oslo:OS_003,Norwegian,ADS,257,1,6,1.0866935085386282,3.0673333333333335,-0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_003,babyling-oslo:OS_003,Norwegian,ADS,279,2,8,1.2389586886324457,3.481333333333333,-0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_003,babyling-oslo:OS_003,Norwegian,IDS,257,1,6,1.3526183477094944,3.9676666666666667,0.5,Norwegian,FALSE
babyling-oslo,Eyetracking,OS_003,babyling-oslo:OS_003,Norwegian,IDS,279,2,8,1.2484842994248733,4.012,0.5,Norwegian,FALSE
