Subject,Subject_Unique,Age,Gender,Method,preterm,Session,Condition,stimulus,trial_num,LT,trial_error,session_error,session_error_type,Language,Lab,days_between_sessions
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,ADS,ADS2,3,2.738,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,IDS,IDS2,4,2.979,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,IDS,IDS3,5,4.517,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,ADS,ADS3,6,3.67,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,ADS,ADS4,7,4.075,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,IDS,IDS4,8,3.108,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,IDS,IDS5,9,4.925,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,ADS,ADS5,10,2.603,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,IDS,IDS6,11,2.23,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,ADS,ADS6,12,2.473,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,ADS,ADS7,13,5.16,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,IDS,IDS7,14,3.564,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,IDS,IDS8,15,3.199,noerror,noerror,NA,German,babylab-potsdam,21
b7033,babylab-potsdam:b7033,239,F,HPP,term,2,ADS,ADS8,16,3.741,noerror,noerror,NA,German,babylab-potsdam,21
b7059,babylab-potsdam:b7059,221,M,HPP,term,1,training,train2,-2,16.195,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,221,M,HPP,term,1,training,train1,-1,8.192,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,221,M,HPP,term,1,ADS,ADS1,1,4.11,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,221,M,HPP,term,1,IDS,IDS1,2,8.294,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,221,M,HPP,term,1,ADS,ADS2,3,4.588,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,221,M,HPP,term,1,IDS,IDS2,4,12.619,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,221,M,HPP,term,1,IDS,IDS3,5,3.557,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,221,M,HPP,term,1,ADS,ADS3,6,3.695,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,221,M,HPP,term,1,ADS,ADS4,7,1.938,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,221,M,HPP,term,1,IDS,IDS4,8,3.595,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,221,M,HPP,term,1,IDS,IDS5,9,0.821,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,221,M,HPP,term,1,ADS,ADS5,10,4.948,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,221,M,HPP,term,1,IDS,IDS6,11,1.361,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,221,M,HPP,term,1,ADS,ADS6,12,3.393,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,221,M,HPP,term,1,ADS,ADS7,13,5.869,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,221,M,HPP,term,1,IDS,IDS7,14,1.211,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,221,M,HPP,term,1,IDS,IDS8,15,1.229,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,221,M,HPP,term,1,ADS,ADS8,16,0.788,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,228,M,HPP,term,2,training,train2,-2,6.759,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,228,M,HPP,term,2,training,train1,-1,2.644,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,228,M,HPP,term,2,ADS,ADS1,1,5.927,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,228,M,HPP,term,2,IDS,IDS1,2,1.23,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,228,M,HPP,term,2,ADS,ADS2,3,1.735,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,228,M,HPP,term,2,IDS,IDS2,4,0.903,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,228,M,HPP,term,2,IDS,IDS3,5,3.437,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,228,M,HPP,term,2,ADS,ADS3,6,0.873,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,228,M,HPP,term,2,ADS,ADS4,7,0.896,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,228,M,HPP,term,2,IDS,IDS4,8,2.403,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,228,M,HPP,term,2,IDS,IDS5,9,1.457,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,228,M,HPP,term,2,ADS,ADS5,10,0.944,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,228,M,HPP,term,2,IDS,IDS6,11,0.658,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,228,M,HPP,term,2,ADS,ADS6,12,0.763,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,228,M,HPP,term,2,ADS,ADS7,13,2.318,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,228,M,HPP,term,2,IDS,IDS7,14,1.265,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,228,M,HPP,term,2,IDS,IDS8,15,0.999,noerror,noerror,NA,German,babylab-potsdam,7
b7059,babylab-potsdam:b7059,228,M,HPP,term,2,ADS,ADS8,16,2.914,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,216,F,HPP,term,1,training,train1,-2,14.528,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,216,F,HPP,term,1,training,train2,-1,5.764,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,216,F,HPP,term,1,IDS,IDS1,1,13.03,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,216,F,HPP,term,1,ADS,ADS1,2,3.389,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,216,F,HPP,term,1,IDS,IDS2,3,7.065,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,216,F,HPP,term,1,ADS,ADS2,4,3.443,noerror,noerror,NA,German,babylab-potsdam,7
b7096,babylab-potsdam:b7096,216,F,HPP,term,1,ADS,ADS3,5,4.193,noerror,noerror,NA,German,babylab-potsdam,7
