Lab,Method,Subject,Subject_Unique,Language,Condition,Age,Session,total_trial_n,N_below_threshold_lt,mean_log_lt,mean_lt,ConditionC,language_recoded,Native
lancslab,Eyetracking,P04,lancslab:P04,English,ADS,250,1,16,0,2.2929805930175924,10.359375,-0.5,English,FALSE
lancslab,Eyetracking,P04,lancslab:P04,English,IDS,250,1,16,0,2.3895258987674324,11.251875,0.5,English,FALSE
lancslab,Eyetracking,P05,lancslab:P05,English,ADS,193,2,16,0,2.2057139589259855,9.713375,-0.5,English,FALSE
lancslab,Eyetracking,P05,lancslab:P05,English,IDS,193,2,16,0,2.3486797208225956,11.443125,0.5,English,FALSE
lancslab,Eyetracking,P06,lancslab:P06,English,ADS,264,2,16,0,2.282468759508298,10.189375,-0.5,English,FALSE
lancslab,Eyetracking,P06,lancslab:P06,English,IDS,264,2,16,0,2.39657233465261,12.135125,0.5,English,FALSE
lancslab,Eyetracking,P07,lancslab:P07,English,ADS,210,1,16,0,2.5622183366792184,13.317375,-0.5,English,FALSE
lancslab,Eyetracking,P07,lancslab:P07,English,ADS,217,2,16,0,2.5219719660437847,12.756375,-0.5,English,FALSE
lancslab,Eyetracking,P07,lancslab:P07,English,IDS,210,1,16,0,2.669165748686902,14.64975,0.5,English,FALSE
lancslab,Eyetracking,P07,lancslab:P07,English,IDS,217,2,16,0,2.636166661218242,14.347999999999999,0.5,English,FALSE
lancslab,Eyetracking,P08,lancslab:P08,English,ADS,233,1,16,0,2.5067151986794363,12.586375,-0.5,English,FALSE
lancslab,Eyetracking,P08,lancslab:P08,English,IDS,233,1,16,0,2.5711760529934864,13.217500000000001,0.5,English,FALSE
lancslab,Eyetracking,P09,lancslab:P09,English,ADS,256,2,16,0,1.7732130251175475,6.749,-0.5,English,FALSE
lancslab,Eyetracking,P09,lancslab:P09,English,IDS,256,2,16,0,2.0626573332703466,8.60625,0.5,English,FALSE
lancslab,Eyetracking,P10,lancslab:P10,English,ADS,229,1,16,0,2.5106785677686894,12.89625,-0.5,English,FALSE
lancslab,Eyetracking,P10,lancslab:P10,English,ADS,236,2,16,0,2.311792233005446,10.894875,-0.5,English,FALSE
lancslab,Eyetracking,P10,lancslab:P10,English,IDS,229,1,16,0,2.509875422890081,12.475875,0.5,English,FALSE
