Lab,Method,Subject,Subject_Unique,Language,language_recoded,Native,Age_session_1,Age_session_2,total_trial_n_session_1,total_trial_n_session_2,IDS_session_1,IDS_session_2,ADS_session_1,ADS_session_2,Diff_1,Diff_2,Prop_session_1,Prop_session_2,binary_pref_session_1,binary_pref_session_2,mean_log_lt_IDS_session_1,mean_log_lt_IDS_session_2,mean_log_lt_ADS_session_1,mean_log_lt_ADS_session_2,Diff_log_lt_session_1,Diff_log_lt_session_2,Prop_log_lt_session_1,Prop_log_lt_session_2,days_between_sessions,Age
babylab-potsdam,HPP,b7149,babylab-potsdam:b7149,German,German,FALSE,231,242,16,15,9.138874999999999,5.431285714285714,8.757125,4.03475,0.3817499999999985,1.3965357142857142,0.5106657912382654,0.5737656056050013,IDS_preference,IDS_preference,2.1464329863128824,1.523775949550581,2.054857682824592,1.2638797379748643,0.09157530348829024,0.25989621157571663,0.5108984727194668,0.5466155509697149,11,236.5
babylab-potsdam,HPP,b7151,babylab-potsdam:b7151,German,German,FALSE,232,241,16,14,9.882875,8.866375,5.98,7.027666666666667,3.902875,1.838708333333333,0.6230191563635218,0.5578426926232839,IDS_preference,IDS_preference,2.145789126316932,2.018075630779993,1.5478491332478441,1.8196630424679985,0.5979399930690881,0.1984125883119947,0.58094187235589545,0.5258501952849323,9,236.5
babylab-potsdam,HPP,b7155,babylab-potsdam:b7155,German,German,FALSE,207,217,16,16,11.919375,11.490625,12.021125,14.051124999999999,-0.10174999999999912,-2.5604999999999993,0.4978749399553059,0.4498761831119637,ADS_preference,ADS_preference,2.392977857538122,2.362337111903631,2.3174078345520264,2.584634239694747,0.07557002298609561,-0.2222971277911161,0.5080216385584938,0.4775319976616307,10,212
babylab-potsdam,HPP,b7161,babylab-potsdam:b7161,German,German,FALSE,209,222,13,14,7.110714285714286,8.637875,7.367333333333334,5.775666666666667,-0.25661904761904797,2.8622083333333324,0.4911376501040985,0.5992888631928885,ADS_preference,IDS_preference,1.854428974653555,2.071604449591551,1.8790071797209187,1.676720294090227,-0.024578205067363745,0.39488415550132383,0.49670836676307356,0.5526747523899771,13,215.5
babylab-potsdam,HPP,b7167,babylab-potsdam:b7167,German,German,FALSE,272,277,5,13,11.1045,6.5188,5.211,5.438625,5.8934999999999995,1.0801749999999997,0.6806104624436885,0.5451675423429375,IDS_preference,IDS_preference,2.4055513568491733,1.7594886492841906,1.537134352077643,1.6337753754645565,0.8684170047715303,0.12571327381963404,0.6101301332243282,0.5185239452195209,5,274.5
babylab-potsdam,HPP,b7171,babylab-potsdam:b7171,German,German,FALSE,205,212,16,14,12.271875,7.974142857142858,10.735125,4.770428571428572,1.5367499999999996,3.2037142857142857,0.533397444256096,0.6256893691431646,IDS_preference,IDS_preference,2.420700677935961,1.8203311932999147,2.322519627938278,1.4853427542006539,0.09818104999768318,0.3349884390992608,0.5103496194216502,0.5506687054469704,7,208.5
babylab-potsdam,HPP,b7172,babylab-potsdam:b7172,German,German,FALSE,194,205,16,13,10.8695,4.424571428571428,8.716,7.259333333333333,2.153500000000001,-2.834761904761905,0.5549768961731893,0.37868944661357506,IDS_preference,ADS_preference,2.1688216501171866,1.352501392260174,2.0633427955345254,1.8119036713448071,0.10547885458266126,-0.45940227908463305,0.512461573260821,0.42741095563769754,11,199.5
babylab-potsdam,HPP,b7181,babylab-potsdam:b7181,German,German,FALSE,251,258,10,14,3.6304,5.014571428571428,4.0436,5.276142857142857,-0.4131999999999998,-0.261571428571429,0.473077925462601,0.4872909002568196,ADS_preference,ADS_preference,1.2546197910859245,1.3828632847968567,1.3165742035553685,1.4905841060585914,-0.061954412469444,-0.10772082126173466,0.48795220963518016,0.48125582156044533,7,254.5
babylab-potsdam,HPP,b7184,babylab-potsdam:b7184,German,German,FALSE,226,261,16,15,4.70325,3.715625,3.609,4.943714285714286,1.0942499999999997,-1.2280892857142858,0.5658215284670216,0.4290887419239756,IDS_preference,ADS_preference,1.4734982851311227,1.2444664896648985,1.2214162679978782,1.462098876016743,0.2520820171332445,-0.21763238635184456,0.5467699461640737,0.45979546825076684,35,243.5
babylab-potsdam,HPP,b7185,babylab-potsdam:b7185,German,German,FALSE,213,220,15,12,6.157,5.620833333333334,6.195428571428572,5.193666666666667,-0.0384285714285717,0.4271666666666665,0.498444493274891,0.5197497187418126,ADS_preference,IDS_preference,1.6858419412563814,1.658960039345793,1.630386960578953,1.5881198697293952,0.05545498067742849,0.07084016961639783,0.5083611509215691,0.5109082886162438,7,216.5
babyling-oslo,Eyetracking,OS_003,babyling-oslo:OS_003,Norwegian,Norwegian,FALSE,257,279,6,8,3.9676666666666667,4.012,3.0673333333333335,3.481333333333333,0.9003333333333332,0.5306666666666664,0.5639895759298744,0.5354092526690392,IDS_preference,IDS_preference,1.3526183477094944,1.2484842994248733,1.0866935085386282,1.2389586886324457,0.2659248391708662,0.00952561079242753,0.5545081676395166,0.5019147395213,22,268
babyling-oslo,Eyetracking,OS_009,babyling-oslo:OS_009,Norwegian,Norwegian,FALSE,260,281,10,11,6.34925,5.445,5.9736666666666665,5.183,0.37558333333333316,0.26200000000000045,0.5152392223161454,0.5123259315016937,IDS_preference,IDS_preference,1.6442522639759243,1.5269780026324995,1.6621342768826461,1.4289241579208014,-0.017882012906721867,0.09805384471169809,0.49729583751238016,0.516586111343642,21,270.5
babyling-oslo,Eyetracking,OS_018,babyling-oslo:OS_018,Norwegian,Norwegian,FALSE,243,255,15,5,8.971875,5.124,7.345285714285714,2.99,1.626589285714287,2.1339999999999995,0.5498429020279921,0.6315011091939856,IDS_preference,IDS_preference,2.113829469908099,1.4122682193914926,1.9332518825457636,1.05677073683842,0.18057758736233542,0.35549748255307256,0.5223096068050184,0.5719910639028349,12,249
babyling-oslo,Eyetracking,OS_026,babyling-oslo:OS_026,Norwegian,Norwegian,FALSE,268,282,7,16,3.129,4.81775,2.8906,4.5525,0.23839999999999995,0.26525,0.5198019801980197,0.5141538379445586,IDS_preference,IDS_preference,1.1405475133866414,1.4472677012884656,1.0563500943374877,1.4039536000738075,0.08419741904915368,0.04331410121465806,0.5191628000215217,0.5075957101600572,14,275
babyling-oslo,Eyetracking,OS_031,babyling-oslo:OS_031,Norwegian,Norwegian,FALSE,249,253,14,10,5.982625,4.653833333333333,4.210833333333333,4.64325,1.7717916666666662,0.010583333333332945,0.5869082704185282,0.5005691749204499,IDS_preference,IDS_preference,1.6139708222687534,1.4194305821288633,1.3662515021161015,1.482132978268642,0.24771932015265197,-0.0627023961397788,0.5415605436758453,0.489195067618786,4,251
babyling-oslo,Eyetracking,OS_032,babyling-oslo:OS_032,Norwegian,Norwegian,FALSE,245,256,15,14,5.74575,6.01475,6.667428571428571,4.4245,-0.9216785714285711,1.5902500000000002,0.4628749974825143,0.5761668702253514,ADS_preference,IDS_preference,1.677683843067611,1.644492587367847,1.8857477855777882,1.469790532297361,-0.20806394251017712,0.17470205507048608,0.47080567775769694,0.5280485184483271,11,250.5
babyling-oslo,Eyetracking,OS_042,babyling-oslo:OS_042,Norwegian,Norwegian,FALSE,184,203,11,10,5.231285714285715,4.091,6.62275,4.875333333333334,-1.3914642857142852,-0.7843333333333335,0.44130841515698394,0.45626231458418526,ADS_preference,ADS_preference,1.5741824528306723,1.3163298003200563,1.7596534169850422,1.5379050488390564,-0.18547096415436992,-0.22157524851900012,0.4721835490112742,0.46118482531591987,19,193.5
babyling-oslo,Eyetracking,OS_052,babyling-oslo:OS_052,Norwegian,Norwegian,FALSE,216,229,8,11,4.5324,5.4254999999999995,4.730333333333333,8.0642,-0.1979333333333333,-2.6387,0.4893156087835844,0.4021957493495037,ADS_preference,ADS_preference,1.4805248432034612,1.5641426933102864,1.4160549936730629,1.9716533516191053,0.06446984953039836,-0.40751065830881883,0.511128616016315,0.4423735626814192,13,222.5
brookes-babylab,central fixation,MB_103,brookes-babylab:MB_103,English,English,FALSE,368,375,16,12,5.365,8.0725,7.62125,2.4175,-2.2562499999999996,5.654999999999999,0.4131292713446915,0.7695424213536701,ADS_preference,IDS_preference,1.550017788209279,1.918308665812908,1.689989884461614,0.8760501552815755,-0.13997209625233498,1.0422585105313327,0.47839941901480915,0.6864933205183551,7,371.5
brookes-babylab,central fixation,MB_135,brookes-babylab:MB_135,English,English,FALSE,303,317,15,11,8.037142857142857,5.756,4.15875,6.198333333333333,3.878392857142857,-0.442333333333333,0.6590040558150431,0.48149903800574406,IDS_preference,ADS_preference,2.0015300860203955,1.7024604983680758,1.284647885351367,1.708450198435169,0.7168822006690285,-0.005989700067093207,0.609075376762047,0.49912197934810976,14,310
brookes-babylab,central fixation,MB_136,brookes-babylab:MB_136,English,English,FALSE,295,302,16,15,9.55875,6.76375,5.43625,3.367142857142857,4.1225,3.396607142857143,0.6374624874958319,0.6676361200712108,IDS_preference,IDS_preference,2.174140272358806,1.8217815956591057,1.5651419038100134,1.1797242724686783,0.6089983685487927,0.6420573231904274,0.5814325236578908,0.6069558667214795,7,298.5
brookes-babylab,central fixation,MB_137,brookes-babylab:MB_137,English,English,FALSE,252,262,16,15,8.375,9.58375,5.86875,4.7,2.5062499999999996,4.88375,0.587977182974989,0.6709547562789883,IDS_preference,IDS_preference,2.027888527732701,2.1716526301537513,1.669200050595933,1.4479240159992226,0.358688477136768,0.7237286141545287,0.5485095866027265,0.5999742076084692,10,257
brookes-babylab,central fixation,MB_138,brookes-babylab:MB_138,English,English,FALSE,240,247,15,16,9.43,12.66375,3.6685714285714286,6.35375,5.761428571428571,6.3100000000000005,0.7199258370596575,0.665899829104772,IDS_preference,IDS_preference,2.0544288272167,2.48004248877366,1.2642788005900958,1.7507430730204003,0.7901500266266044,0.7292994157532595,0.6190448384193433,0.5861895982556016,7,243.5
brookes-babylab,central fixation,MB_139,brookes-babylab:MB_139,English,English,FALSE,278,284,14,16,10.098571428571429,10.748750000000001,6.645714285714286,7.0062500000000005,3.452857142857143,3.7425000000000006,0.6031055370702157,0.605392847085328,IDS_preference,IDS_preference,2.1112634795080103,2.3186603513566935,1.8079371794819623,1.8446797211913528,0.303326300026048,0.47398063016534064,0.5386974700223972,0.5569231220493663,6,281
brookes-babylab,central fixation,MB_140,brookes-babylab:MB_140,English,English,FALSE,253,261,15,16,10.213750000000001,8.22625,4.147142857142857,5.65125,6.066607142857144,2.575,0.7112197062956194,0.5927760763826337,IDS_preference,IDS_preference,2.064962667229893,1.9031524762734866,1.3335010665474645,1.531153559862088,0.7314616006824286,0.3719989164113986,0.6076165082199386,0.5541592555376904,8,257
brookes-babylab,central fixation,MB_141,brookes-babylab:MB_141,English,English,FALSE,260,270,15,16,10.354285714285714,7.4325,6.5600000000000005,8.91375,3.7942857142857136,-1.4812500000000002,0.6121621621621621,0.45469144299151176,IDS_preference,ADS_preference,2.2153548679862354,1.9149009045709382,1.7593705609898818,1.9131873444268914,0.4559843069963536,0.0017135601440467774,0.5573604787480647,0.5002238140858555,10,265
brookes-babylab,central fixation,MB_142,brookes-babylab:MB_142,English,English,FALSE,300,307,15,13,5.965714285714285,8.6175,5.6,5.486,0.36571428571428566,3.1315,0.5158102766798418,0.6110185414967916,IDS_preference,IDS_preference,1.7233876622421125,1.9691334019322249,1.5659451425786215,1.6481765933679091,0.157442519663491,0.32095680856431574,0.5239322879449517,0.5443640175961316,7,303.5
brookes-babylab,central fixation,MB_143,brookes-babylab:MB_143,English,English,FALSE,287,297,16,14,10.17375,7.711428571428571,6.955,6.268571428571429,3.21875,1.4428571428571422,0.593957527548712,0.5516043327202125,IDS_preference,IDS_preference,2.1767376788054054,1.820196481274786,1.871638670595234,1.5622540673793106,0.30509900821017144,0.25794241389547534,0.5376816508494006,0.538129517369901,10,292
brookes-babylab,central fixation,MB_144,brookes-babylab:MB_144,English,English,FALSE,216,224,16,15,11.855,13.91375,9.28625,12.854285714285714,2.5687499999999996,1.0594642857142862,0.5607520841955892,0.5197897278870721,IDS_preference,IDS_preference,2.3084009454843106,2.571364086624597,2.1725502317076018,2.4464360734389543,0.13585071377670888,0.1249280131856425,0.5151586915818444,0.51244848431589,8,220
brookes-babylab,central fixation,MB_36,brookes-babylab:MB_36,English,English,FALSE,217,229,15,14,6.45,8.321666666666667,4.17,3.4524999999999997,2.2800000000000002,4.8691666666666675,0.6073446327683616,0.7067733031353953,IDS_preference,IDS_preference,1.759701431231719,1.9318811267231228,1.3147997008443284,1.180515556585194,0.44490173038739056,0.7513655701379289,0.5723534829351277,0.6207053031137513,12,223
brookes-babylab,central fixation,MB_42,brookes-babylab:MB_42,English,English,FALSE,228,235,16,16,10.85375,10.838750000000001,6.81125,4.96,4.0424999999999995,5.878750000000001,0.6144211718086612,0.686051111638579,IDS_preference,IDS_preference,2.249298696399034,2.269966724394867,1.8097956840105929,1.562920778430566,0.43950301238844114,0.7070459459643008,0.5541380627301511,0.5922341114164058,7,231.5
brookes-babylab,central fixation,MB_48,brookes-babylab:MB_48,English,English,FALSE,269,278,16,14,10.56875,7.475714285714285,9.6225,5.33,0.9462499999999991,2.145714285714285,0.5234321797808457,0.5837795626952254,IDS_preference,IDS_preference,2.1454026878617443,1.819807128853816,2.11750049806192,1.4230272362771443,0.027902189799824395,0.3967798925766717,0.5032726745814871,0.5611779461885418,9,273.5
brookes-babylab,central fixation,MB_50,brookes-babylab:MB_50,English,English,FALSE,255,262,16,15,6.26,11.635,5.0725,4.228571428571429,1.1875,7.406428571428571,0.5523935583498787,0.7334413976315908,IDS_preference,IDS_preference,1.735472820252561,2.3279386241596205,1.5012147742358155,1.3085853201614115,0.2342580460167456,1.019353303998209,0.5361879296623582,0.6401549006146487,7,258.5
brookes-babylab,central fixation,MB_63,brookes-babylab:MB_63,English,English,FALSE,174,182,15,16,8.665,8.055,4.7371428571428575,4.16875,3.9278571428571416,3.8862499999999995,0.6465384000426371,0.6589630841599345,IDS_preference,IDS_preference,2.104523528947851,1.8648349183275157,1.4753063599506866,1.2929020127013162,0.6292171689971646,0.5719329056261995,0.5878836688509192,0.5905605688691515,8,178
brookes-babylab,central fixation,MB_80,brookes-babylab:MB_80,English,English,FALSE,270,282,16,16,6.43625,11.08,5.78125,7.12625,0.6550000000000002,3.9537500000000003,0.5268058113361981,0.6085822176450395,IDS_preference,IDS_preference,1.7881241684382991,2.2391457428653547,1.6539076049705281,1.796122601547576,0.134216563467771,0.44302314131777876,0.5194967060595796,0.5548938885230732,12,276
brookes-babylab,central fixation,MB_88,brookes-babylab:MB_88,English,English,FALSE,259,266,15,16,4.80375,6.34125,5.414285714285715,4.4075,-0.6105357142857146,1.9337499999999999,0.47012460460320504,0.5899523200372137,ADS_preference,IDS_preference,1.4589332327615048,1.7406249237080123,1.5587679215596855,1.4146026764768442,-0.09983468879818069,0.326022247231168,0.48345848649472417,0.551663824063289,7,262.5
InfantCog-UBC,central fixation,AD42,InfantCog-UBC:AD42,English,American English,TRUE,158,169,16,16,10.0975,6.425,8.3925,5.69625,1.705,0.7287499999999998,0.5461060032449973,0.5300608435598638,IDS_preference,IDS_preference,2.2251924977647355,1.680214076071282,2.006992508150671,1.6208357250115812,0.21819998961406428,0.059378351059700796,0.5257786449917812,0.5089938587173424,11,163.5
InfantCog-UBC,central fixation,HV25,InfantCog-UBC:HV25,English,American English,TRUE,163,172,10,9,3.155,3.1639999999999997,3.22,3.22,-0.06500000000000039,-0.056000000000000494,0.4949019607843137,0.49561403508771923,ADS_preference,ADS_preference,1.0892983093407627,1.0802334259706865,1.1022409377176652,1.1022409377176652,-0.01294262837690252,-0.02200751174697868,0.4970471374413499,0.4949581282343711,9,167.5
InfantCog-UBC,central fixation,ML23,InfantCog-UBC:ML23,English,American English,TRUE,135,184,15,15,8.7825,10.76142857142857,8.75,8.05875,0.03250000000000064,2.702678571428571,0.5009268501354628,0.5718026813925023,IDS_preference,IDS_preference,2.0492019994672437,2.2077183776013554,2.069641218660406,1.953234265251518,-0.020439219193162383,0.25448411234983737,0.4975188155859871,0.5305800298865401,49,159.5
InfantCog-UBC,central fixation,OS32,InfantCog-UBC:OS32,English,American English,TRUE,104,112,14,13,9.125714285714286,7.101666666666667,11.28,7.6085714285714285,-2.154285714285713,-0.506904761904762,0.4472136656398768,0.48277034135603647,ADS_preference,ADS_preference,2.0472503676247302,1.801008117602389,2.348846192812279,1.9370113184127622,-0.3015958251875488,-0.1360032008103731,0.4656973156707041,0.48180812016384844,8,108
InfantCog-UBC,central fixation,PH39,InfantCog-UBC:PH39,English,American English,TRUE,116,159,16,14,7.1775,10.98,6.26,13.167142857142856,0.9175000000000004,-2.187142857142856,0.5341395348837209,0.4547121812695971,IDS_preference,ADS_preference,1.85579396091501,2.2976513904196727,1.7085927103564678,2.4942047181642417,0.14720125055854227,-0.19655332774456902,0.5206488891546148,0.4794908983814777,43,137.5
InfantCog-UBC,central fixation,VF48,InfantCog-UBC:VF48,English,American English,TRUE,170,199,11,9,8.051666666666666,5.106,6.264,6.09,1.7876666666666656,-0.984,0.5624374228700492,0.45605573419078244,IDS_preference,ADS_preference,1.8536925024135962,1.46359446313517,1.6703274824228849,1.742854737352193,0.1833650199907113,-0.27926027421702293,0.5260164557493592,0.4564533450000429,29,184.5
InfantCog-UBC,central fixation,VM20,InfantCog-UBC:VM20,English,American English,TRUE,108,113,12,16,8.608333333333334,8.5825,6.1033333333333335,10.2,2.505000000000001,-1.6174999999999997,0.5851365129715645,0.45694130174364433,IDS_preference,ADS_preference,2.078181319515309,2.020408042545804,1.5918544473596232,2.251763500751688,0.48632687215568593,-0.2313554582058841,0.5662564213331629,0.4729229671770961,5,110.5
infantll-madison,HPP,mb2_002,infantll-madison:mb2_002,English,American English,TRUE,217,224,9,13,6.6948,6.737333333333334,5.0817499999999995,4.768571428571429,1.6130500000000003,1.9687619047619052,0.5684856770446353,0.5855544151243254,IDS_preference,IDS_preference,1.8004343653305277,1.7431497436168244,1.5361631466712387,1.5323739010856794,0.26427121865928904,0.210775842531145,0.539601902493289,0.5321743735344473,7,220.5
infantll-madison,HPP,mb2_003,infantll-madison:mb2_003,English,American English,TRUE,253,260,14,11,7.050666666666666,9.513666666666667,3.7043749999999998,6.2202,3.3462916666666667,3.293466666666667,0.6555685124418392,0.6046617063828345,IDS_preference,IDS_preference,1.8541513504863778,2.036578737092377,1.2544951328848999,1.5710163391983232,0.5996562176014779,0.46556239789405374,0.5964497283317917,0.5645253122992868,7,256.5
infantll-madison,HPP,mb2_005,infantll-madison:mb2_005,English,American English,TRUE,225,232,13,11,6.7076666666666664,4.9034,5.276142857142857,4.3395,1.4315238095238092,0.5639000000000003,0.5597274099976158,0.5305044953423709,IDS_preference,IDS_preference,1.5940565866294907,1.5569799320912752,1.559509290266259,1.442472514478042,0.03454729636323162,0.11450741761323324,0.5054774971749185,0.519088053511934,7,228.5
infantll-madison,HPP,mb2_007,infantll-madison:mb2_007,English,American English,TRUE,225,232,16,13,5.5815,7.363571428571428,5.458,3.6414999999999997,0.12349999999999994,3.7220714285714287,0.5055935504325377,0.6691070999733889,IDS_preference,IDS_preference,1.6005516012954981,1.8273304966474915,1.6320142848251282,1.2395843122006551,-0.03146268352963011,0.5877461844468364,0.4951334814760128,0.595820428847774,7,228.5
infantll-madison,HPP,mb2_008,infantll-madison:mb2_008,English,American English,TRUE,188,191,11,7,9.3146,12.798,5.691,10.697666666666667,3.6236000000000006,2.1003333333333334,0.6207415898064722,0.5446961851121483,IDS_preference,IDS_preference,2.0432462808711302,2.455950099411552,1.5412291093473358,2.2875004717289595,0.5020171715237944,0.16844962768259242,0.5700265892316808,0.5177560222412194,3,189.5
infantll-madison,HPP,mb2_009,infantll-madison:mb2_009,English,American English,TRUE,218,225,15,16,16.17157142857143,8.508875,11.12175,7.391,5.049821428571429,1.1178749999999997,0.5925102033071931,0.5351535782514013,IDS_preference,IDS_preference,2.781674261002415,1.7637936756626718,2.314402809192737,1.662302167773782,0.4672714518096779,0.10149150788888983,0.5458461916267471,0.5148115395083477,7,221.5
infantll-madison,HPP,mb2_010,infantll-madison:mb2_010,English,American English,TRUE,219,226,8,9,8.1035,6.7132,10.195500000000001,7.114,-2.0920000000000005,-0.40080000000000027,0.44283840647029893,0.4855068271233511,ADS_preference,ADS_preference,1.9685955274046425,1.9025033630408263,2.1630389039713354,1.8126503243895933,-0.19444337656669286,0.08985303865123306,0.4764689519612295,0.5120927754557282,7,222.5
infantll-madison,HPP,mb2_011,infantll-madison:mb2_011,English,American English,TRUE,222,229,12,12,5.635142857142857,6.952571428571429,9.6372,2.7561999999999998,-4.002057142857143,4.196371428571429,0.3689769742503723,0.7161123814400528,ADS_preference,IDS_preference,1.677298097571369,1.912462164926585,2.2197303671551047,0.9415143127009512,-0.5424322695837358,0.9709478522256337,0.4304043741926057,0.6701043894084171,7,225.5
infantll-madison,HPP,mb2_012,infantll-madison:mb2_012,English,American English,TRUE,256,263,12,15,5.3965,6.68775,5.1615,5.430428571428571,0.23499999999999943,1.2573214285714291,0.5111290017048683,0.5518774921973776,IDS_preference,IDS_preference,1.5514208381791172,1.7965768823532862,1.4961479745510615,1.4416761191427434,0.055272863628055724,0.35490076321054276,0.5090683536655797,0.5547981833177618,7,259.5
infantll-madison,HPP,mb2_013,infantll-madison:mb2_013,English,American English,TRUE,209,222,12,10,3.9526666666666666,5.693666666666666,5.628333333333334,3.2535,-1.6756666666666673,2.4401666666666664,0.4125526215078454,0.6363653298064564,ADS_preference,IDS_preference,1.3048894377086009,1.49568654217809,1.515371656498836,1.1669162961637947,-0.2104822187902351,0.3287702460142954,0.46268391263090025,0.5617385066371812,13,215.5
infantll-madison,HPP,mb2_014,infantll-madison:mb2_014,English,American English,TRUE,192,199,9,10,11.16825,9.53,11.8854,10.089333333333334,-0.7171500000000002,-0.5593333333333348,0.4844460638553982,0.48574535322301127,ADS_preference,ADS_preference,2.186514407867427,2.0903334850607034,2.417847614225796,2.171900963676622,-0.2313332063583693,-0.08156747861591862,0.4748789077348438,0.49043137119779,7,195.5
infantll-madison,HPP,mb2_015,infantll-madison:mb2_015,English,American English,TRUE,209,224,13,11,8.016714285714286,11.260333333333334,4.191833333333333,13.3904,3.824880952380953,-2.130066666666666,0.6566476648874032,0.45679506492031335,IDS_preference,ADS_preference,1.9648040156765665,2.2937244144925666,1.3696842876161477,2.5213363161839584,0.5951197280604188,-0.22761190169139178,0.5892370393791387,0.47636458661452735,15,216.5
