"";"Subject";"Age";"Gender";"Method";"preterm";"Session";"Condition";"trial_num";"LT";"trial_error";"session_error";"Language";"Lab"
"70";"P02";"211";"F";"Eyetracking";"term";"2";"IDS";14;6,664;"noerror";"noerror";"English";"lancslab"
"71";"P02";"211";"F";"Eyetracking";"term";"2";"IDS";15;1,887;"noerror";"noerror";"English";"lancslab"
"72";"P02";"211";"F";"Eyetracking";"term";"2";"ADS";16;4,335;"noerror";"noerror";"English";"lancslab"
"73";"P03";"258";"F";"Eyetracking";"term";"1";"training";-2;14,093;"noerror";"noerror";"English";"lancslab"
"74";"P03";"258";"F";"Eyetracking";"term";"1";"training";-1;4,471;"noerror";"noerror";"English";"lancslab"
"75";"P03";"258";"F";"Eyetracking";"term";"1";"IDS";1;13,651;"noerror";"noerror";"English";"lancslab"
"76";"P03";"258";"F";"Eyetracking";"term";"1";"ADS";2;15,079;"noerror";"noerror";"English";"lancslab"
"77";"P03";"258";"F";"Eyetracking";"term";"1";"ADS";3;2,856;"noerror";"noerror";"English";"lancslab"
"78";"P03";"258";"F";"Eyetracking";"term";"1";"IDS";4;7,786;"noerror";"noerror";"English";"lancslab"
"79";"P03";"258";"F";"Eyetracking";"term";"1";"ADS";5;7,973;"noerror";"noerror";"English";"lancslab"
"80";"P03";"258";"F";"Eyetracking";"term";"1";"IDS";6;2,941;"noerror";"noerror";"English";"lancslab"
"81";"P03";"258";"F";"Eyetracking";"term";"1";"ADS";7;5,491;"noerror";"noerror";"English";"lancslab"
"82";"P03";"258";"F";"Eyetracking";"term";"1";"IDS";8;8,959;"noerror";"noerror";"English";"lancslab"
"83";"P03";"258";"F";"Eyetracking";"term";"1";"ADS";9;8,075;"noerror";"noerror";"English";"lancslab"
"84";"P03";"258";"F";"Eyetracking";"term";"1";"IDS";10;3,043;"noerror";"noerror";"English";"lancslab"
"85";"P03";"258";"F";"Eyetracking";"term";"1";"IDS";11;3,944;"noerror";"noerror";"English";"lancslab"
"86";"P03";"258";"F";"Eyetracking";"term";"1";"ADS";12;1,309;"noerror";"noerror";"English";"lancslab"
"87";"P03";"258";"F";"Eyetracking";"term";"1";"IDS";13;1,445;"error";"noerror";"English";"lancslab"
"88";"P03";"258";"F";"Eyetracking";"term";"1";"ADS";14;0,799;"error";"noerror";"English";"lancslab"
"89";"P03";"258";"F";"Eyetracking";"term";"1";"IDS";15;3,502;"error";"noerror";"English";"lancslab"
"90";"P03";"258";"F";"Eyetracking";"term";"1";"ADS";16;0;"error";"noerror";"English";"lancslab"
"91";"P03";"265";"F";"Eyetracking";"term";"2";"training";-2;18,377;"noerror";"noerror";"English";"lancslab"
"92";"P03";"265";"F";"Eyetracking";"term";"2";"training";-1;17,238;"noerror";"noerror";"English";"lancslab"
"93";"P03";"265";"F";"Eyetracking";"term";"2";"IDS";1;14,705;"noerror";"noerror";"English";"lancslab"
"94";"P03";"265";"F";"Eyetracking";"term";"2";"ADS";2;7,548;"error";"noerror";"English";"lancslab"
"95";"P03";"265";"F";"Eyetracking";"term";"2";"ADS";3;5,032;"noerror";"noerror";"English";"lancslab"
"96";"P03";"265";"F";"Eyetracking";"term";"2";"IDS";4;5,049;"noerror";"noerror";"English";"lancslab"
"97";"P03";"265";"F";"Eyetracking";"term";"2";"ADS";5;13,668;"noerror";"noerror";"English";"lancslab"
"98";"P03";"265";"F";"Eyetracking";"term";"2";"IDS";6;9,214;"noerror";"noerror";"English";"lancslab"
"99";"P03";"265";"F";"Eyetracking";"term";"2";"ADS";7;10,047;"noerror";"noerror";"English";"lancslab"
