lab,subid,test,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
babylab-potsdam,b7033,1,ADS,ADS5,10,5.321,6.082,noerror,NA,NA
babylab-potsdam,b7033,1,IDS,IDS6,11,8.399,10.053,noerror,NA,NA
babylab-potsdam,b7033,1,ADS,ADS6,12,4.226,4.226,noerror,NA,NA
babylab-potsdam,b7033,1,ADS,ADS7,13,5.728,7.029,noerror,NA,NA
babylab-potsdam,b7033,1,IDS,IDS7,14,6.896,9.505,noerror,NA,NA
babylab-potsdam,b7033,1,IDS,IDS8,15,7.494,10.209,noerror,NA,NA
babylab-potsdam,b7033,1,ADS,ADS8,16,4.424,5.646,noerror,NA,NA
babylab-potsdam,b7033,2,training,train2,-2,13.884,16.087,noerror,NA,NA
babylab-potsdam,b7033,2,training,train1,-1,3.857,3.857,noerror,NA,NA
babylab-potsdam,b7033,2,ADS,ADS1,1,4.291,4.291,noerror,NA,NA
babylab-potsdam,b7033,2,IDS,IDS1,2,3.899,3.899,noerror,NA,NA
babylab-potsdam,b7033,2,ADS,ADS2,3,2.738,2.738,noerror,NA,NA
babylab-potsdam,b7033,2,IDS,IDS2,4,2.979,2.979,noerror,NA,NA
babylab-potsdam,b7033,2,IDS,IDS3,5,4.517,4.517,noerror,NA,NA
babylab-potsdam,b7033,2,ADS,ADS3,6,3.67,3.67,noerror,NA,NA
babylab-potsdam,b7033,2,ADS,ADS4,7,4.075,4.075,noerror,NA,NA
babylab-potsdam,b7033,2,IDS,IDS4,8,3.108,3.108,noerror,NA,NA
babylab-potsdam,b7033,2,IDS,IDS5,9,4.925,6.767,noerror,NA,NA
babylab-potsdam,b7033,2,ADS,ADS5,10,2.603,2.603,noerror,NA,NA
babylab-potsdam,b7033,2,IDS,IDS6,11,2.23,2.23,noerror,NA,NA
babylab-potsdam,b7033,2,ADS,ADS6,12,2.473,2.473,noerror,NA,NA
babylab-potsdam,b7033,2,ADS,ADS7,13,5.16,6.747,noerror,NA,NA
babylab-potsdam,b7033,2,IDS,IDS7,14,3.564,3.564,noerror,NA,NA
babylab-potsdam,b7033,2,IDS,IDS8,15,3.199,3.199,noerror,NA,NA
babylab-potsdam,b7033,2,ADS,ADS8,16,3.741,3.741,noerror,NA,NA
babylab-potsdam,b7059,1,training,train2,-2,16.195,18,noerror,NA,NA
babylab-potsdam,b7059,1,training,train1,-1,8.192,8.192,noerror,NA,NA
babylab-potsdam,b7059,1,ADS,ADS1,1,4.11,4.11,noerror,NA,offline correction - experimenter error - addition of 748 ms based on logsheet and video- child was looking the whole trial
babylab-potsdam,b7059,1,IDS,IDS1,2,8.294,10.405,noerror,NA,NA
babylab-potsdam,b7059,1,ADS,ADS2,3,4.588,4.588,noerror,NA,NA
babylab-potsdam,b7059,1,IDS,IDS2,4,12.619,16.973,noerror,NA,NA
babylab-potsdam,b7059,1,IDS,IDS3,5,3.557,5.493,noerror,NA,NA
babylab-potsdam,b7059,1,ADS,ADS3,6,3.695,4.603,noerror,NA,NA
babylab-potsdam,b7059,1,ADS,ADS4,7,1.938,1.938,noerror,NA,NA
babylab-potsdam,b7059,1,IDS,IDS4,8,3.595,5.053,noerror,NA,NA
babylab-potsdam,b7059,1,IDS,IDS5,9,0.821,0.821,noerror,NA,NA
babylab-potsdam,b7059,1,ADS,ADS5,10,4.948,5.904,noerror,NA,NA
babylab-potsdam,b7059,1,IDS,IDS6,11,1.361,1.361,noerror,NA,NA
babylab-potsdam,b7059,1,ADS,ADS6,12,3.393,3.393,noerror,NA,NA
babylab-potsdam,b7059,1,ADS,ADS7,13,5.869,8.192,noerror,NA,NA
babylab-potsdam,b7059,1,IDS,IDS7,14,1.211,1.211,noerror,NA,NA
babylab-potsdam,b7059,1,IDS,IDS8,15,1.229,1.229,noerror,NA,NA
babylab-potsdam,b7059,1,ADS,ADS8,16,0.788,0.788,noerror,NA,NA
babylab-potsdam,b7059,2,training,train2,-2,6.759,8.604,noerror,NA,NA
babylab-potsdam,b7059,2,training,train1,-1,2.644,2.644,noerror,NA,NA
babylab-potsdam,b7059,2,ADS,ADS1,1,5.927,8.515,noerror,NA,NA
babylab-potsdam,b7059,2,IDS,IDS1,2,1.23,1.23,noerror,NA,NA
babylab-potsdam,b7059,2,ADS,ADS2,3,1.735,1.735,noerror,NA,NA
babylab-potsdam,b7059,2,IDS,IDS2,4,0.903,0.903,noerror,NA,NA
babylab-potsdam,b7059,2,IDS,IDS3,5,3.437,6.337,noerror,NA,NA
